experiment,dataset,source_train_dataset,target_test_dataset,transfer_direction,model,seed,condition,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,Preprocess_ms_per_image,Inference_ms_per_image,Postprocess_ms_per_image,FPS,source_file
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,42,rain,0.1886330596333744,0.2697462628695338,0.2372217560647393,0.6399839659488725,0.2595419006223788,0.3693115697125118,0.6505086249944725,14.033248750001803,1.238229474995478,62.80623199990382,yolo/acdc_to_dawn_yolo11s_seed42/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,42,snow,0.1806790740853406,0.292433223620209,0.2010756147921188,0.7102242975592687,0.2397836538461538,0.3585236878641717,1.064600124982462,2.879349199997705,1.3391757750014222,189.28190816520413,yolo/acdc_to_dawn_yolo11s_seed42/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,456,global,0.0956807669643949,0.1704815983787298,0.0820782947331997,0.5349695309092624,0.143989629624978,0.2269063269009041,1.2277540857179965,1.248262900001659,2.048513942855022,221.0173862851726,yolo/acdc_to_dawn_yolo11s_seed456/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,456,fog,0.0846695335901658,0.151802191578823,0.0713763691153693,0.5829765491422887,0.1263784278356815,0.207725785077452,2.267807749998004,4.0426964666608,2.4889239500036338,113.64374832771584,yolo/acdc_to_dawn_yolo11s_seed456/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,456,rain,0.1127615673813937,0.2237588899618023,0.1052290163143009,0.8979036590674234,0.1991071428571428,0.325938508179215,2.5010543000064445,4.934740174996932,5.652967074996695,76.40142240959341,yolo/acdc_to_dawn_yolo11s_seed456/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,456,snow,0.1699108890877696,0.2791815848604151,0.1556718754352707,0.3977506266249853,0.2214339936379409,0.2844886867124194,2.503272374997323,1.5438397500020071,5.125765450003428,109.01704419615557,yolo/acdc_to_dawn_yolo11s_seed456/acdc_to_dawn_yolo11s_results.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,YOLOv11s,123,global,0.3522502467978859,0.5522451055507326,0.3895940267864121,0.7076779896194954,0.4799592882533112,0.5719871387308939,0.3973297142839068,4.553642685716244,0.7584625999990229,219.60440662961452,yolo/dawn_in_domain_yolo11s_seed123/results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,YOLOv11s,456,global,0.2751063103982223,0.5081945544078413,0.2279758819964644,0.6343026475736263,0.3811493233697094,0.4761702805297797,0.4082856857166916,1.0218919714280414,0.9586509214289306,978.577019841492,yolo/dawn_in_domain_yolo11s_seed456/results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,123,global,0.0708652517212725,0.1308728667298098,0.0662235528024174,0.3106799396086995,0.1586474363014562,0.2100392112589947,0.5236851611092181,1.6574426166673422,1.3082330203739423,286.585440098381,yolo/dawn_to_acdc_yolo11s_seed123/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,123,fog,0.0827122325265618,0.151876955306626,0.0791079675870178,0.5660510437109616,0.2243115636267693,0.3213001058718206,0.920192270004918,2.752842380000402,5.646703079996769,107.2991567971705,yolo/dawn_to_acdc_yolo11s_seed123/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,123,rain,0.0680804075290706,0.1225036528783341,0.0645770542345231,0.2672066495663325,0.1510188149599761,0.1929735752108644,0.7667723000007327,1.5561573735286562,1.682440029405959,249.6648434892656,yolo/dawn_to_acdc_yolo11s_seed123/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,123,snow,0.0827962964829737,0.1554810405929484,0.0765661214844574,0.5374053905697498,0.187255847081737,0.277736123884765,1.0375275500018688,1.2355766399923596,3.756247650003388,165.85530692804872,yolo/dawn_to_acdc_yolo11s_seed123/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,42,global,0.0710754355089656,0.1272307465377231,0.0713789959414748,0.2793430336691243,0.1287481540659651,0.1762591352961679,0.4770858981457961,1.5267185574059652,1.236262529628389,308.63559444108193,yolo/dawn_to_acdc_yolo11s_seed42/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,42,fog,0.0761416968659636,0.139496314299795,0.0711732551640871,0.5584958020932647,0.1530291603821015,0.2402337182210092,1.156019970003399,5.657632540005579,2.551190889998906,106.78235153394644,yolo/dawn_to_acdc_yolo11s_seed42/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,42,rain,0.0713865380189187,0.1208027306042009,0.0753647969446936,0.2426143355428899,0.1290665557060465,0.1684961341338339,0.4881471088270593,0.925767964706799,1.3394081529333883,363.1974591240009,yolo/dawn_to_acdc_yolo11s_seed42/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,42,snow,0.0887262962782999,0.1570434052206745,0.0909600002314078,0.6242914790345049,0.1344257094776686,0.2212176717773936,0.7563544399999955,1.1343914000008226,1.4304366400028812,301.09757775155015,yolo/dawn_to_acdc_yolo11s_seed42/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,456,global,0.1065696146311667,0.1930175594086149,0.0996323340489035,0.5187958137656358,0.2084016311676787,0.2973549882085639,0.4741334000001458,1.822710072221938,1.27010189814756,280.3519247328337,yolo/dawn_to_acdc_yolo11s_seed456/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,456,fog,0.1217248445528461,0.2208634423250741,0.1076116058935779,0.465617877517945,0.2764825914214239,0.346948271228818,1.0296445100004803,6.420143019997795,5.0592613700007405,79.94212893356574,yolo/dawn_to_acdc_yolo11s_seed456/dawn_to_acdc_yolo11s_results.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,YOLOv11s,456,rain,0.098350851800927,0.1755804065828167,0.0971221384116035,0.5082094313279054,0.2013375389004062,0.2884139893278985,0.5696403529407904,1.4033361323530404,1.8876687499996208,259.02405920599665,yolo/dawn_to_acdc_yolo11s_seed456/dawn_to_acdc_yolo11s_results.csv
